"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Gracula religiosa","Aves","Passeriformes",-0.150107887403081,194.398968872053,198.413126787595,1.3388090349076,1.48829568788501,"1",NA,NA,0,0,0.62611445312841
"Dacelo leachii","Aves","Coraciiformes",-0.0461964906025303,291.826880500954,302.733399384616,1.97672826830938,1.58904859685147,"1",NA,NA,-0.8,-0.2,0.592875868971663
"Sturnus pagodarum","Aves","Passeriformes",0.0738661616618737,NA,NA,1.15099247091034,1.34702258726899,"1",NA,NA,0,0,0.551693674237758
"Grus canadensis","Aves","Gruiformes",-0.0744780879408266,4515.9102375221,5142.41530303039,3.564681724846,3.97316906228611,"1",304,NA,-0.33,0,0.644726063742536
"Merops bullockoides","Aves","Coraciiformes",-0.13521594115097,33.8627111192398,33.4766390432519,0.958247775496236,0.105954825462012,"1",13.11,NA,-0.5,0,0.498947170787473
"Merops albicollis","Aves","Coraciiformes",-0.0875661166990822,22.2365912337599,24.3863144090559,NA,NA,NA,NA,NA,NA,0,0.49668414400058
"Lanius ludovicianus","Aves","Passeriformes",-0.145757572973947,53.7821434741346,54.636108632719,0.959342915811088,0.967008898015058,"1",46,NA,-1,0,0.524524361364998
"Oriolus chinensis","Aves","Passeriformes",0.0412200086619764,67.7943754586854,79.496805403162,NA,NA,NA,NA,NA,-0.4,0.4,0.474561497253715
"Sphecotheres vieilloti","Aves","Passeriformes",0.180524778647085,135.202398866946,NA,NA,NA,NA,NA,NA,0,1,0.460153687696783
"Calocitta formosa","Aves","Passeriformes",-0.133957661083715,224.513494486094,221.493123321009,NA,NA,NA,NA,NA,-1,0,0.511817768471603
"Bubulcus ibis","Aves","Pelecaniformes",-0.00885484316329223,362.858613826843,380.969810716641,1.94661190965092,1.8507871321013,"1",119,NA,0,0,0.769048242234984
"Philomachus pugnax","Aves","Charadriiformes",-0.0866095173458356,99.8530168844605,160.307812962582,1.46338124572211,1.4072553045859,"0",84,NA,-1.86,1.4,0.681347440996867
"Milvus migrans","Aves","Accipitriformes",0.094902652497189,760.628643563234,629.127322375282,3.96824093086927,3.05270362765229,"1",140,NA,-0.29,0,0.683752859813032
"Psephotus haematonotus","Aves","Psittaciformes",0.0737272403036935,62.1504563724675,66.6071762410185,0.816153319644079,1.04887063655031,"1",NA,NA,-1.75,1.6,0.577156581796965
"Tockus erythrorhynchus","Aves","Bucerotiformes",-0.128961474653407,130.698303611856,166.446693874656,1.43737166324435,1.27556468172485,"1",NA,NA,-0.5,0.2,0.610262342725525
"Bambusicola fytchii","Aves","Galliformes",-0.00589839971080609,311.347155917353,348.816988593837,NA,NA,"1",NA,NA,-1,0,0.51445036111809
"Bambusicola thoracicus","Aves","Galliformes",-0.0526719147568728,233.96436435813,251.186380843981,0.858316221765914,0.899383983572895,"1",NA,NA,-2,0,0.528883259161079
"Tragopan satyra","Aves","Galliformes",-0.056701775782974,1227.18245300492,1695.03415488906,1.94058863791923,2.00355920602327,NA,NA,NA,NA,1.8,0.619591301962373
"Tragopan temminckii","Aves","Galliformes",-0.1299253491249,1096.20579735826,1521.1902029253,1.0403832991102,1.82724161533196,"0",NA,NA,-2,1.8,0.688565527227975
"Corvus corax","Aves","Passeriformes",0.118021391907589,860.287939897077,1084.81832081968,4.58316221765914,1.99479808350445,"1",138.24,NA,-1,0,0.623347414359977
